published_date,title,author,rank,weeks_on_list
2025-07-06,SOUNDS LIKE LOVE,Ashley Poston,11,1
2025-07-06,NIGHTSHADE,Michael Connelly,12,5
2025-07-06,LIGHTS OUT,Navessa Allen,13,18
2025-07-06,THE RIVER IS WAITING,Wally Lamb,14,2
2025-07-06,IRON FLAME,Rebecca Yarros,15,68
2025-07-13,DON'T LET HIM IN,Lisa Jewell,1,1
2025-07-13,A MOTHER'S LOVE,Danielle Steel,2,1
2025-07-13,ATMOSPHERE,Taylor Jenkins Reid,3,4
2025-07-13,ONE GOLDEN SUMMER,Carley Fortune,4,8
2025-07-13,SEVERED HEART,Kate Stewart,5,1
2025-07-13,THE TENANT,Freida McFadden,6,8
2025-07-13,CAUGHT UP,Navessa Allen,7,3
2025-07-13,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,8,4
2025-07-13,NEVER FLINCH,Stephen King,9,5
2025-07-13,GREAT BIG BEAUTIFUL LIFE,Emily Henry,10,10
2025-07-13,PROBLEMATIC SUMMER ROMANCE,Ali Hazelwood,11,5
2025-07-13,ONYX STORM,Rebecca Yarros,12,21
2025-07-13,MY FRIENDS,Fredrik Backman,13,6
2025-07-13,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,14,9
2025-07-13,THE RIVER IS WAITING,Wally Lamb,15,3
2025-07-20,EDGE OF HONOR,Brad Thor,1,1
2025-07-20,PROJECT HAIL MARY,Andy Weir,2,12
2025-07-20,ATMOSPHERE,Taylor Jenkins Reid,3,5
2025-07-20,ONE GOLDEN SUMMER,Carley Fortune,4,9
2025-07-20,DO NOT DISTURB,Freida McFadden,5,1
2025-07-20,THE TENANT,Freida McFadden,6,9
2025-07-20,GREAT BIG BEAUTIFUL LIFE,Emily Henry,7,11
